Serial Number,Error Type,Ungrammatical Statement,Standard Tamil,,
52,error1,???? ?????? ??????????????.,???? ?????? ????????????.,,
53,error2,???? ????? ?????????.,???? ????? ?????????.,,
54,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
55,error2,???? ???? ????????.,???? ???? ????????.,,
56,error1,???? ?????? ????????????.,???? ?????? ????????????.,,
57,error2,???? ????? ???????.,???? ????? ???????.,,
58,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
59,error2,???? ??? ??????????.,???? ??? ??????????.,,
60,error1,???? ?????? ???? ??????????.,???? ?????? ???? ????????.,,
61,error2,???? ????????.,???? ????????.,,
62,error1,???? ???? ????????????.,???? ???? ????????????.,,
63,error2,???? ????? ?????????.,???? ????? ?????????.,,
64,error1,???? ?????? ????? ???????????.,???? ?????? ????? ?????????.,,
65,error2,???? ???? ????????.,???? ???? ????????.,,
66,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
67,error2,???? ????? ???????.,???? ????? ???????.,,
68,error1,???? ?????? ??????????????.,???? ?????? ????????????.,,
69,error2,???? ????? ?????????.,???? ????? ?????????.,,
70,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
71,error2,???? ????? ???????????.,???? ????? ???????????.,,
72,error1,???? ?????? ????? ?????????.,???? ?????? ????? ?????????.,,
73,error2,???? ????? ???????.,???? ????? ???????.,,
74,error1,???? ???? ????????????.,???? ???? ????????????.,,
75,error2,???? ??? ??????????.,???? ??? ??????????.,,
76,error1,???? ?????? ??? ????????.,???? ?????? ??? ????????.,,
77,error2,???? ????? ?????????.,???? ????? ?????????.,,
78,error1,???? ??????? ????? ?????????.,???? ??????? ????? ???????????.,,
79,error2,???? ???? ????????.,???? ???? ????????.,,
80,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
81,error2,???? ???? ?????????.,???? ???? ?????????.,,
82,error1,???? ?????? ???? ????????????.,???? ?????? ???? ????????????.,,
83,error2,???? ????? ???????.,???? ????? ???????.,,
84,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
85,error2,???? ??? ??????????.,???? ??? ??????????.,,
86,error1,???? ?????? ???? ??????????.,???? ?????? ???? ????????.,,
87,error2,???? ????????.,???? ????????.,,
88,error1,???? ???? ????????????.,???? ???? ????????????.,,
89,error2,???? ????? ???????????.,???? ????? ???????????.,,
90,error1,???? ?????? ????? ???????????.,???? ?????? ????? ?????????.,,
91,error2,???? ???? ????????.,???? ???? ????????.,,
92,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
93,error2,???? ????? ???????.,???? ????? ???????.,,
94,error1,???? ?????? ??????????????.,???? ?????? ????????????.,,
95,error2,???? ????? ?????????.,???? ????? ?????????.,,
96,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
97,error2,???? ????? ???????????.,???? ????? ???????????.,,
98,error1,???? ?????? ????? ?????????.,???? ?????? ????? ?????????.,,
99,error2,???? ???? ????????.,???? ???? ????????.,,
100,error1,???? ??????? ????? ?????????.,???? ??????? ????? ???????????.,,
101,error2,???? ????? ???????.,???? ????? ???????.,,
102,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
103,error2,???? ??? ??????????.,???? ??? ??????????.,,
104,error1,???? ?????? ??? ????????.,???? ?????? ??? ????????.,,
105,error2,???? ????? ?????????.,???? ????? ?????????.,,
106,error1,???? ??????? ????? ?????????.,???? ??????? ????? ???????????.,,
107,error2,???? ???? ????????.,???? ???? ????????.,,
108,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
109,error2,???? ???? ?????????.,???? ???? ?????????.,,
110,error1,???? ????? ????????? ????????.,???? ????? ????????? ????????.,,
111,error2,???? ??????? ????????? ??????????.,???? ??????? ????????? ??????????.,,
112,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
113,error2,???? ????? ???????????.,???? ????? ???????????.,,
114,error1,???? ?????? ??????????????? ????????.,???? ?????? ??????????????? ??????.,,
115,error2,???? ??????? ??????????.,???? ??????? ??????????.,,
116,error1,???? ???? ????????? ????????.,???? ???? ????????? ??????.,,
117,error2,???? ?????? ????????????.,???? ?????? ????????????.,,
118,error1,???? ????? ????????????.,???? ????? ????????????.,,
119,error2,???? ?????? ????????.,???? ?????? ??????????.,,
120,error1,???? ???? ???????? ????????????.,???? ???? ???????? ??????????.,,
121,error2,???? ????? ?????????.,???? ????? ?????????.,,
122,error1,???? ??????? ??????????????.,???? ??????? ????????????.,,
123,error2,???? ????? ?????????.,???? ????? ?????????.,,
124,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
125,error2,???? ???? ????????.,???? ???? ????????.,,
126,error1,???? ????? ?????? ????????????.,???? ????? ?????? ??????????.,,
127,error2,???? ????? ???????????.,???? ????? ???????????.,,
128,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
129,error2,???? ???????? ???????????.,???? ???????? ???????????.,,
130,error1,???? ??????? ???? ????????.,???? ??????? ???? ????????.,,
131,error2,???? ???? ??????????????.,???? ???? ??????????????.,,
132,error1,???? ???? ????????? ????????.,???? ???? ????????? ??????.,,
133,error2,???? ??? ??????????.,???? ??? ??????????.,,
134,error1,???? ????? ????? ???????????.,???? ????? ????? ?????????.,,
135,error2,???? ????? ?????????.,???? ????? ?????????.,,
136,error1,???? ???? ????????????.,???? ???? ????????????.,,
137,error2,???? ???? ????????.,???? ???? ????????.,,
138,error1,???? ????? ??? ????????.,???? ????? ??? ????????.,,
139,error2,???? ????? ???????????.,???? ????? ???????????.,,
140,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
141,error1,???? ????? ????????? ????????.,???? ????? ????????? ??????.,,
142,error2,???? ??? ??????????.,???? ??? ??????????.,,
143,error1,???? ???? ????????????.,???? ???? ????????????.,,
144,error2,???? ????? ???????????.,???? ????? ???????????.,,
145,error1,???? ????? ???? ????????.,???? ????? ???? ????????.,,
146,error2,???? ???? ????????.,???? ???? ??????????.,,
147,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
148,error2,???? ????? ?????????.,???? ????? ?????????.,,
149,error1,???? ???? ????????? ????????.,???? ???? ????????? ??????.,,
150,error2,???? ???? ???????????.,???? ???? ???????????.,,
151,error1,???? ????? ??? ????????.,???? ????? ??? ????????.,,
152,error2,???? ???????? ?????????.,???? ???????? ?????????.,,
153,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
154,error2,???? ?????? ????????????.,???? ?????? ????????????.,,
155,error1,???? ????? ??????????????.,???? ????? ????????????.,,
156,error2,???? ????? ???????????.,???? ????? ???????????.,,
157,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
158,error2,???? ??? ????????.,???? ??? ????????.,,
159,error1,???? ????? ????? ???????????.,???? ????? ????? ?????????.,,
160,error2,???? ????? ??????????.,???? ????? ??????????.,,
161,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
162,error2,???? ????? ???????????.,???? ????? ???????????.,,
163,error1,???? ????? ????????????.,???? ????? ????????????.,,
164,error2,???? ?????? ??????????.,???? ?????? ??????????.,,
165,error1,???? ???? ????????? ????????.,???? ???? ????????? ??????.,,
166,error2,???? ????? ?????????.,???? ????? ?????????.,,
167,error1,???? ????? ????????????.,???? ????? ????????????.,,
168,error2,???? ??? ??????????.,???? ??? ??????????.,,
169,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
170,error2,???? ??? ??????????.,???? ??? ??????????.,,
171,error1,???? ??????? ????? ???????????.,???? ??????? ????? ?????????.,,
172,error2,???? ?? ??????????.,???? ?? ??????????.,,
173,error1,???? ???? ????????????.,???? ???? ????????????.,,
174,error2,???? ???????? ?????????.,???? ???????? ?????????.,,
175,error1,???? ????? ???? ??????????.,???? ????? ???? ????????.,,
176,error2,???? ??????????????.,???? ??????????????.,,
177,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
178,error2,???? ????? ?????????.,???? ????? ?????????.,,
179,error1,???? ????? ?????????.,???? ????? ???????.,,
180,error2,???? ??????? ????????? ??????????.,???? ??????? ????????? ??????????.,,
181,error1,???? ???? ??? ????????.,???? ???? ??? ????????.,,
182,error2,???? ????? ???????????.,???? ????? ???????????.,,
183,error1,???? ????? ????????????.,???? ????? ????????????.,,
184,error2,???? ??? ??????????.,???? ??? ??????????.,,
185,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
186,error2,???? ???? ????????.,???? ???? ????????.,,
187,error1,???? ????? ????? ???????????.,???? ????? ????? ?????????.,,
188,error2,???? ?????????? ????????????.,???? ?????????? ????????????.,,
189,error1,???? ???? ????? ???????????.,???? ???? ????? ?????????.,,
190,error2,???? ??????????????.,???? ??????????????.,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
